date,clearance rate,total scheduled auctions,sold prior to auction,passed in,sold at auction,withdrawn,sold after auction
2015-12-06,53,1070,157,306,331,139,10
2015-12-13,55,869,117,216,236,75,5
2015-12-20,61,456,85,120,174,46,3
2016-01-10,100,8,5,0,3,0,0
2016-01-17,71,10,3,0,2,2,0
2016-01-24,56,12,1,2,4,2,0
2016-01-31,45,61,7,25,15,2,0
2016-02-07,75,313,41,46,164,23,2
2016-02-14,78,513,68,75,279,23,3
2016-02-21,77,800,146,131,394,36,4
2016-02-28,72,919,197,184,390,45,6
2016-03-06,69,708,159,133,259,59,4
2016-03-13,71,729,212,150,241,35,4
2016-03-20,72,1114,323,236,391,50,13
2016-03-27,78,349,122,56,104,12,13
2016-04-03,70,664,159,145,261,40,8
2016-04-10,67,678,113,156,298,47,3
2016-04-17,70,477,82,105,218,28,8
2016-04-24,77,643,102,101,327,26,6
2016-05-01,72,818,114,166,430,50,2
2016-05-08,72,676,94,127,341,45,4
2016-05-15,76,647,80,112,366,29,5
2016-05-22,73,735,112,133,372,46,4
2016-05-29,73,811,92,158,425,34,8
2016-06-05,73,692,99,136,353,34,5
2016-06-12,74,463,57,88,247,19,2
2016-06-19,73,768,128,130,358,48,5
2016-06-26,74,816,141,137,410,62,1
2016-07-03,78,365,86,57,166,13,2
2016-07-10,77,512,64,82,286,26,2
2016-07-17,75,470,67,86,242,18,2
2016-07-24,71,473,75,98,238,27,0
2016-07-31,78,509,83,66,267,34,4
2016-08-07,77,544,74,89,311,23,0
2016-08-14,76,827,109,144,448,32,3
2016-08-21,84,687,135,80,390,18,2
2016-08-28,79,788,149,116,416,40,5
2016-09-04,81,747,134,93,396,37,12
2016-09-11,80,720,126,91,356,30,1
2016-09-18,79,1042,179,147,540,45,9
2016-09-25,77,1175,199,190,593,44,5
2016-10-02,79,639,89,93,342,24,1
2016-10-09,75,975,187,175,473,43,7
2016-10-16,79,1087,217,165,541,43,6
2016-10-23,80,1087,203,152,566,44,5
2016-10-30,77,1309,237,207,639,52,4
2016-11-06,77,1292,239,199,604,57,10
2016-11-13,78,1318,226,193,676,56,6
2016-11-20,75,1322,215,227,606,47,3
2016-11-27,74,1499,262,270,694,78,9
2016-12-04,72,1456,305,254,596,92,8
2016-12-11,71,1463,298,259,557,95,13
2016-12-18,69,1101,217,207,448,99,4
2016-12-25,80,89,7,7,41,5,0
2017-01-08,100,3,0,0,1,0,0
2017-01-15,100,45,1,0,29,0,0
